iter	RMSE
0	0.6320376625
1	0.6052181097
2	0.581093217
3	0.5589640541
4	0.5412039053
5	0.5252830953
6	0.511742999
7	0.4999713009
8	0.4897353496
9	0.4784303031
10	0.470336096
11	0.4626458213
12	0.4562235927
13	0.4485026823
14	0.4433060056
15	0.4366776032
16	0.4309226515
17	0.4260536111
18	0.4214783139
19	0.4173570503
20	0.4141353128
21	0.4112299253
22	0.4079701868
23	0.4052988466
24	0.4014651769
25	0.399215332
26	0.3968395248
27	0.3949017749
28	0.3926561699
29	0.3909236191
30	0.3889596065
31	0.3875050688
32	0.3861251197
33	0.3848786836
34	0.383727544
35	0.3825466785
36	0.3813331436
37	0.3799699318
38	0.3782590631
39	0.3769259921
40	0.3761202101
41	0.3753039346
42	0.3741040639
43	0.3732518184
44	0.3724487998
45	0.3719384334
46	0.3710866565
47	0.3703948515
48	0.369683858
49	0.369137338
50	0.3683310285
51	0.3675035519
52	0.3670508232
53	0.3654318836
54	0.3649920758
55	0.3645242439
56	0.3630696609
57	0.3625321511
58	0.3622838191
59	0.3619385706
60	0.3613847652
61	0.3609897908
62	0.360520383
63	0.3596999698
64	0.3589802424
65	0.3584991843
66	0.3577365721
67	0.3571031897
68	0.3566094081
69	0.3561869632
70	0.3556580414
71	0.3550978239
72	0.3545589674
73	0.354095131
74	0.3537666829
75	0.3532880803
76	0.3528233553
77	0.3521414869
78	0.3512344059
79	0.350881999
80	0.3505484673
81	0.3501365723
82	0.3493527681
83	0.3488925887
84	0.3486497227
85	0.3482785014
86	0.3479281364
87	0.3477231497
88	0.3475853773
89	0.3472549891
90	0.3466913791
91	0.3464009267
92	0.3460976409
93	0.3457949183
94	0.3454462018
95	0.3450504357
96	0.3447857417
97	0.3444520646
98	0.3442432817
99	0.3439501889
100	0.3437564394
101	0.3434478726
102	0.3432332634
103	0.342975466
104	0.3424443724
105	0.342151255
106	0.3419065577
107	0.3415919942
108	0.3412345121
109	0.3408484415
110	0.340735717
111	0.3404954351
112	0.3403354157
113	0.340094367
114	0.3397679814
115	0.3395203236
116	0.3393107738
117	0.3390930525
118	0.3389220775
119	0.3387399423
120	0.338515784
121	0.3383081942
122	0.3377757043
123	0.3375983541
124	0.3374097486
