iter	Passed	Remaining
0	116	14494
1	208	12844
2	304	12400
3	402	12163
4	492	11830
5	576	11429
6	665	11216
7	753	11019
8	843	10875
9	934	10747
10	1021	10588
11	1129	10631
12	1246	10735
13	1331	10559
14	1425	10456
15	1518	10342
16	1607	10209
17	1696	10083
18	1784	9954
19	1872	9832
20	1964	9726
21	2050	9602
22	2143	9504
23	2225	9366
24	2316	9264
25	2405	9161
26	2495	9057
27	2619	9075
28	2710	8973
29	2819	8929
30	2947	8936
31	3037	8827
32	3123	8706
33	3213	8599
34	3306	8502
35	3433	8487
36	3526	8387
37	3618	8285
38	3704	8169
39	3797	8069
40	3886	7962
41	3978	7862
42	4067	7756
43	4164	7665
44	4250	7556
45	4341	7456
46	4436	7361
47	4530	7268
48	4625	7173
49	4719	7078
50	4814	6985
51	4903	6883
52	5005	6800
53	5097	6702
54	5185	6600
55	5277	6502
56	5363	6398
57	5448	6293
58	5537	6194
59	5654	6125
60	5748	6031
61	5839	5933
62	5925	5831
63	6013	5731
64	6104	5634
65	6194	5537
66	6283	5439
67	6373	5342
68	6461	5244
69	6552	5148
70	6647	5056
71	6736	4958
72	6826	4862
73	6918	4767
74	7004	4669
75	7091	4571
76	7179	4475
77	7266	4378
78	7355	4283
79	7445	4188
80	7531	4091
81	7618	3995
82	7706	3899
83	7812	3813
84	7909	3722
85	8000	3628
86	8093	3535
87	8188	3442
88	8266	3343
89	8341	3243
90	8418	3145
91	8489	3044
92	8639	2972
93	8713	2873
94	8790	2775
95	8864	2677
96	8937	2579
97	9005	2481
98	9078	2384
99	9148	2287
100	9219	2190
101	9293	2095
102	9364	2000
103	9448	1907
104	9522	1813
105	9597	1720
106	9667	1626
107	9740	1533
108	9818	1441
109	9895	1349
110	9966	1256
111	10066	1168
112	10153	1078
113	10229	987
114	10302	895
115	10377	805
116	10452	714
117	10522	624
118	10599	534
119	10672	444
120	10746	355
121	10822	266
122	10896	177
123	10966	88
124	11039	0
